Date,Fertilizer_Usage (kg/ha),Livestock_Emissions (kg CH₄/animal),Tillage_Method,Energy_Usage (L/ha),GHG_Emissions (kg CO₂/ha)
4/27/2012,106.1,50.3,Traditional,20.3,130.1
4/28/2012,110.1,47.5,No-Tillage,27,149.4
4/29/2012,95.6,52.1,No-Tillage,21.3,113.5
4/30/2012,111.7,54.5,Low-Tillage,20.7,137.9
5/1/2012,114.2,53.3,Low-Tillage,19.5,136
5/2/2012,100.5,49.9,No-Tillage,21.7,113.1
5/3/2012,92.6,51.7,Low-Tillage,24.4,147.3
5/4/2012,114.3,50.3,Traditional,28.7,105.7
5/5/2012,98.5,50.8,Traditional,30.1,130.2
5/6/2012,108.7,48.6,No-Tillage,19.1,142
5/7/2012,125,53.1,No-Tillage,28.1,122.2
5/8/2012,114.2,54,Low-Tillage,30.4,150.9
5/9/2012,110.5,49.6,No-Tillage,21.1,106.2
5/10/2012,102.6,48,No-Tillage,31.1,123.6
5/11/2012,125.9,46.6,No-Tillage,24.2,150.8
5/12/2012,113.7,50.9,No-Tillage,23.1,127.8
5/13/2012,119,54.2,No-Tillage,22,145.9
5/14/2012,122.1,53.7,Low-Tillage,30.6,145.6
5/15/2012,108.6,54.3,No-Tillage,20.5,147
5/16/2012,113.7,48.4,Low-Tillage,27.1,131.1
5/17/2012,125.3,49.8,Traditional,29.8,138.9
5/18/2012,107.4,50.1,Traditional,28.7,146.4
5/19/2012,94.3,47.8,Low-Tillage,20.8,154.1
5/20/2012,115.5,49.4,Low-Tillage,21.2,127.5
5/21/2012,105.8,52.7,Low-Tillage,27.7,150.7
5/22/2012,93.1,54.9,No-Tillage,30.5,144.2
5/23/2012,102.9,46.4,Traditional,20.3,114.9
5/24/2012,85.7,56.2,No-Tillage,28.4,154.1
5/25/2012,97.9,53,Low-Tillage,30.1,125.7
5/26/2012,97.8,53.3,Low-Tillage,22.3,133.1
5/27/2012,115.5,54.6,Traditional,28.6,128.4
5/28/2012,123.8,49.1,Traditional,29.6,108.2
5/29/2012,113.6,52,No-Tillage,28.4,131
5/30/2012,96.1,46.4,No-Tillage,21.5,126.3
5/31/2012,104,55.7,No-Tillage,26,105.7
6/1/2012,99.1,49.6,Traditional,27.4,128.8
6/2/2012,102.3,47,Traditional,19.1,110.7
6/3/2012,100.5,54.5,Traditional,25.2,105.4
6/4/2012,114.4,55.4,Traditional,20.5,114.1
6/5/2012,90.2,52,Traditional,25.3,146.1
6/6/2012,89.9,55.3,Low-Tillage,20.8,151.6
6/7/2012,99.7,54.7,Traditional,20,113.7
6/8/2012,109.6,53.9,Traditional,25.8,151.1
6/9/2012,115.4,54.4,Traditional,20.2,135.9
6/10/2012,95,50.5,Low-Tillage,22.7,111.1
6/11/2012,105.4,52.8,Traditional,26.6,126.4
6/12/2012,122.9,50.4,No-Tillage,27.9,125.1
6/13/2012,92.1,56.9,Traditional,29.4,134.2
6/14/2012,104.3,48.5,No-Tillage,22,138.4
6/15/2012,118.1,49.4,Traditional,30.5,121.5
6/16/2012,91.7,52.4,Low-Tillage,28.6,128.6
6/17/2012,107.7,52.3,Low-Tillage,25.8,115.1
6/18/2012,98.4,48.3,No-Tillage,31,112.3
6/19/2012,101.8,54.2,Traditional,21.9,115.4
6/20/2012,102.9,46.3,Low-Tillage,21.4,108.4
6/21/2012,92.6,46.9,No-Tillage,19.9,122.5
6/22/2012,100.6,54.4,Low-Tillage,24.9,126.1
6/23/2012,101.4,57.1,Low-Tillage,19.4,143
6/24/2012,91.2,50.8,No-Tillage,27.2,123.7
6/25/2012,92.2,54.9,No-Tillage,21.1,148.6
6/26/2012,92.8,52.3,Traditional,30,120.6
6/27/2012,116.8,50.2,Traditional,20.7,123.9
6/28/2012,107.7,49.7,Low-Tillage,19.5,127.3
6/29/2012,122.6,56.1,Traditional,19.6,127.7
6/30/2012,85.5,54,No-Tillage,20.1,151.4
7/1/2012,109.6,52.5,No-Tillage,23.8,121
7/2/2012,102,48.7,No-Tillage,22,121.4
7/3/2012,113.9,53.5,Low-Tillage,24.9,146.6
7/4/2012,92.1,49,No-Tillage,27.6,125.2
7/5/2012,114.2,55.1,No-Tillage,21.6,155.7
7/6/2012,102.6,50.1,Traditional,19.2,129.2
7/7/2012,105.2,52.3,No-Tillage,25.4,154.2
7/8/2012,93.6,50.5,Low-Tillage,28.2,157.4
7/9/2012,105.3,46.5,Low-Tillage,24.5,150.4
7/10/2012,111.6,54.1,Traditional,20.4,145
7/11/2012,125.5,48,Low-Tillage,31.3,124.2
7/12/2012,99.8,54.5,Low-Tillage,28.8,130.3
7/13/2012,125,53.7,Traditional,31.4,153.9
7/14/2012,98.1,46.4,Traditional,20.7,111.5
7/15/2012,112.5,52.4,Low-Tillage,29.1,124.1
7/16/2012,108.8,56.4,Low-Tillage,26.2,109.1
7/17/2012,124.5,49.6,Traditional,21.3,156.8
7/18/2012,105.8,53.8,No-Tillage,29,154.8
