Country,Year,BirthRate
High income: OECD,1960,20.78992383
OECD members,1960,23.05062728
Oman,1960,50.645
Pakistan,1960,39.117
Panama,1960,40.578
Peru,1960,46.718
Philippines,1960,44.649
Palau,1960,44.649
Papua New Guinea,1960,42.449
Poland,1960,22.6
Puerto Rico,1960,32.4
"Korea, Dem. Rep.",1960,35.162
Portugal,1960,23.9
Paraguay,1960,41.939
French Polynesia,1960,44.73
Qatar,1960,42.349
Russian Federation,1960,42.349
Rwanda,1960,52.895
South Asia,1960,46.68784027
Saudi Arabia,1960,48.895
Sudan,1960,46.4
Senegal,1960,48.844
Singapore,1960,38.5
Solomon Islands,1960,43.968
Sierra Leone,1960,46.287
El Salvador,1960,48.086
San Marino,1960,48.086
Somalia,1960,51.429
Serbia,1960,51.429
Sub-Saharan Africa (developing only),1960,47.76795668
Sub-Saharan Africa (all income levels),1960,47.75963114
Sao Tome and Principe,1960,50.016
Suriname,1960,44.792
Slovak Republic,1960,22.32
Slovenia,1960,17.6
Sweden,1960,13.7
Swaziland,1960,47.588
Seychelles,1960,47.588
Syrian Arab Republic,1960,48.352
Turks and Caicos Islands,1960,48.352
Chad,1960,45.682
Togo,1960,46.929
Thailand,1960,43.636
Tajikistan,1960,48.005
Turkmenistan,1960,44.429
Tonga,1960,45.369
Trinidad and Tobago,1960,38.677
Tunisia,1960,46.58
Turkey,1960,46.099
Tuvalu,1960,46.099
Tanzania,1960,49.278
Uganda,1960,49.534
Ukraine,1960,19.12
Upper middle income,1960,39.7445289
Uruguay,1960,22.2
United States,1960,23.7
Uzbekistan,1960,45.2748
St. Vincent and the Grenadines,1960,47.876
"Venezuela, RB",1960,44.92
Virgin Islands (U.S.),1960,35.0
Vietnam,1960,46.222
Vanuatu,1960,48.386
World,1960,32.87442714
Samoa,1960,48.202
"Yemen, Rep.",1960,54.501
South Africa,1960,42.267
Zambia,1960,48.112
Zimbabwe,1960,48.178
Aruba,1961,35.179
Afghanistan,1961,52.206
Angola,1961,54.394
Albania,1961,40.312
Netherlands Antilles,1961,30.987
Arab World,1961,30.987
United Arab Emirates,1961,45.098
Argentina,1961,23.577
Armenia,1961,34.767
American Samoa,1961,34.767
Antigua and Barbuda,1961,34.767
Australia,1961,22.9
Austria,1961,18.6
Azerbaijan,1961,40.841
Burundi,1961,45.605
Belgium,1961,17.3
Benin,1961,43.9
Burkina Faso,1961,47.496
Bangladesh,1961,47.238
Bulgaria,1961,17.4
Bahrain,1961,46.798
"Bahamas, The",1961,37.297
Bosnia and Herzegovina,1961,32.41
Belarus,1961,32.41
Belize,1961,42.622
Bermuda,1961,42.622
Bolivia,1961,46.167
Brazil,1961,42.549
Barbados,1961,30.141
Brunei Darussalam,1961,44.552
Bhutan,1961,47.885
Botswana,1961,46.859
Central African Republic,1961,43.758
Canada,1961,26.0
Switzerland,1961,18.3
Channel Islands,1961,16.863
Chile,1961,38.541
China,1961,18.02
Cote d'Ivoire,1961,53.145
Cameroon,1961,43.563
"Congo, Rep.",1961,42.65
Colombia,1961,44.333
Comoros,1961,48.48
Cape Verde,1961,49.75
Costa Rica,1961,45.001
Cuba,1961,33.187
Cayman Islands,1961,33.187
Cyprus,1961,26.071
Czech Republic,1961,26.071
Germany,1961,26.071
Djibouti,1961,51.184
Dominica,1961,51.184
Denmark,1961,16.6
Dominican Republic,1961,51.041
Algeria,1961,50.584
East Asia & Pacific (developing only),1961,50.584
East Asia & Pacific (all income levels),1961,50.584
Europe & Central Asia (developing only),1961,50.584
Europe & Central Asia (all income levels),1961,50.584
Ecuador,1961,44.293
"Egypt, Arab Rep.",1961,45.39
Euro area,1961,45.39
Eritrea,1961,48.821
Spain,1961,21.2
Estonia,1961,21.2
Ethiopia,1961,47.927
European Union,1961,47.927
Finland,1961,18.4
Fiji,1961,43.799
France,1961,18.2
Faeroe Islands,1961,18.2
"Micronesia, Fed. Sts.",1961,43.219
Gabon,1961,30.827
United Kingdom,1961,17.9
Georgia,1961,23.891
Ghana,1961,47.152
Gibraltar,1961,47.152
Guinea,1961,49.197
"Gambia, The",1961,47.712
Guinea-Bissau,1961,41.332
Equatorial Guinea,1961,40.226
Greece,1961,17.9
Grenada,1961,43.464
Greenland,1961,43.464
Guatemala,1961,46.156
Guam,1961,35.883
Guyana,1961,42.141
High income,1961,42.141
"Hong Kong SAR, China",1961,35.0
Honduras,1961,49.979
Heavily indebted poor countries (HIPC),1961,49.979
Croatia,1961,49.979
Haiti,1961,43.9
Hungary,1961,14.0
Indonesia,1961,44.622
India,1961,44.622
Ireland,1961,21.2
"Iran, Islamic Rep.",1961,45.503
Iraq,1961,41.707
Iceland,1961,25.5
Israel,1961,25.1
Italy,1961,18.4
Jamaica,1961,18.4
Jordan,1961,50.688
Japan,1961,17.0
Kazakhstan,1961,17.0
Kenya,1961,51.154
Kyrgyz Republic,1961,51.154
Cambodia,1961,45.059
Kiribati,1961,45.059
St. Kitts and Nevis,1961,45.059
"Korea, Rep.",1961,45.059
Kosovo,1961,45.059
Kuwait,1961,44.239
Latin America & Caribbean (developing only),1961,44.239
Lao PDR,1961,42.806
Lebanon,1961,38.569
Liberia,1961,54.574
Libya,1961,48.864
St. Lucia,1961,48.864
Latin America & Caribbean (all income levels),1961,48.864
Least developed countries: UN classification,1961,48.864
Low income,1961,48.864
Liechtenstein,1961,48.864
Sri Lanka,1961,48.864
Lower middle income,1961,48.864
Low & middle income,1961,48.864
Lesotho,1961,42.278
Lithuania,1961,42.278
Luxembourg,1961,16.0
Latvia,1961,16.0
"Macao SAR, China",1961,31.111
Morocco,1961,50.307
Monaco,1961,50.307
Moldova,1961,25.736
Madagascar,1961,48.428
Maldives,1961,41.347
Middle East & North Africa (all income levels),1961,41.347
Mexico,1961,45.338
Marshall Islands,1961,45.338
Middle income,1961,45.338
"Macedonia, FYR",1961,30.515
Mali,1961,48.273
Malta,1961,23.3
Myanmar,1961,42.354
Middle East & North Africa (developing only),1961,42.354
Montenegro,1961,13.825
Mongolia,1961,43.346
Northern Mariana Islands,1961,43.346
Mozambique,1961,48.773
Mauritania,1961,49.935
Mauritius,1961,39.7
Malawi,1961,54.21
Malaysia,1961,44.155
Mayotte,1961,43.482
North America,1961,43.482
Namibia,1961,42.358
New Caledonia,1961,42.358
Niger,1961,56.759
Nigeria,1961,47.48
Nicaragua,1961,50.355
Netherlands,1961,21.3
High income: nonOECD,1961,21.3
Norway,1961,17.3
Nepal,1961,44.487
New Zealand,1961,27.1
High income: OECD,1961,27.1
OECD members,1961,27.1
Oman,1961,50.55
Pakistan,1961,39.467
Panama,1961,40.543
Peru,1961,46.565
Philippines,1961,44.198
Palau,1961,44.198
Papua New Guinea,1961,42.382
Poland,1961,20.9
Puerto Rico,1961,31.4
"Korea, Dem. Rep.",1961,34.67
Portugal,1961,24.3
Paraguay,1961,41.674
French Polynesia,1961,44.71
Qatar,1961,41.767
Russian Federation,1961,41.767
Rwanda,1961,52.889
South Asia,1961,52.889
Saudi Arabia,1961,48.892
Sudan,1961,46.349
Senegal,1961,49.059
Singapore,1961,36.2
Solomon Islands,1961,43.865
Sierra Leone,1961,46.402
El Salvador,1961,47.916
San Marino,1961,47.916
Somalia,1961,51.238
Serbia,1961,51.238
Sub-Saharan Africa (developing only),1961,51.238
Sub-Saharan Africa (all income levels),1961,51.238
Sao Tome and Principe,1961,50.405
Suriname,1961,44.694
Slovak Republic,1961,44.694
Slovenia,1961,18.1
Sweden,1961,13.9
Swaziland,1961,47.676
Seychelles,1961,47.676
Syrian Arab Republic,1961,48.295
Turks and Caicos Islands,1961,48.295
Chad,1961,45.585
Togo,1961,47.064
Thailand,1961,43.419
Tajikistan,1961,48.146
Turkmenistan,1961,44.433
Tonga,1961,45.27
Trinidad and Tobago,1961,38.375
Tunisia,1961,38.375
Turkey,1961,45.209
Tuvalu,1961,45.209
Tanzania,1961,49.23
Uganda,1961,49.405
Ukraine,1961,49.405
Upper middle income,1961,49.405
Uruguay,1961,21.4
United States,1961,23.3
Uzbekistan,1961,23.3
St. Vincent and the Grenadines,1961,47.302
"Venezuela, RB",1961,47.302
Virgin Islands (U.S.),1961,47.302
Vietnam,1961,46.196
Vanuatu,1961,47.971
World,1961,47.971
Samoa,1961,47.788
"Yemen, Rep.",1961,54.516
South Africa,1961,41.993
Zambia,1961,48.323
Zimbabwe,1961,48.179
Aruba,1962,33.863
Afghanistan,1962,52.208
Angola,1962,54.317
Albania,1962,39.604
Netherlands Antilles,1962,29.618
Arab World,1962,29.618
United Arab Emirates,1962,44.196
Argentina,1962,23.349
Armenia,1962,33.792
American Samoa,1962,33.792
Antigua and Barbuda,1962,29.4
Australia,1962,22.1
Austria,1962,18.7
Azerbaijan,1962,40.38
Burundi,1962,45.366
Belgium,1962,16.8
Benin,1962,44.36
Burkina Faso,1962,47.466
Bangladesh,1962,47.208
Bulgaria,1962,16.7
Bahrain,1962,46.885
"Bahamas, The",1962,37.271
Bosnia and Herzegovina,1962,31.484
Belarus,1962,24.0
Belize,1962,42.157
Bermuda,1962,26.0
Bolivia,1962,45.981
Brazil,1962,42.074
Barbados,1962,29.374
Brunei Darussalam,1962,43.44
Bhutan,1962,47.801
Botswana,1962,46.718
Central African Republic,1962,43.797
Canada,1962,25.2
Switzerland,1962,18.7
Channel Islands,1962,17.218
Chile,1962,37.885
China,1962,37.01
Cote d'Ivoire,1962,53.206
Cameroon,1962,43.766
"Congo, Rep.",1962,42.757
Colombia,1962,44.043
Comoros,1962,48.215
Cape Verde,1962,48.881
Costa Rica,1962,44.349
Cuba,1962,34.162
Cayman Islands,1962,34.162
Cyprus,1962,25.467
Czech Republic,1962,14.4
Germany,1962,17.80584671
Djibouti,1962,51.216
Dominica,1962,51.216
Denmark,1962,16.7
Dominican Republic,1962,50.283
Algeria,1962,50.427
East Asia & Pacific (developing only),1962,50.427
East Asia & Pacific (all income levels),1962,50.427
Europe & Central Asia (developing only),1962,50.427
Europe & Central Asia (all income levels),1962,50.427
Ecuador,1962,44.144
"Egypt, Arab Rep.",1962,44.782
Euro area,1962,44.782
Eritrea,1962,48.662
Spain,1962,21.1
Estonia,1962,15.8
Ethiopia,1962,47.961
European Union,1962,47.961
Finland,1962,18.1
Fiji,1962,42.692
France,1962,17.7
Faeroe Islands,1962,17.7
"Micronesia, Fed. Sts.",1962,42.934
Gabon,1962,31.062
United Kingdom,1962,18.3
Georgia,1962,23.412
Ghana,1962,47.345
Gibraltar,1962,47.345
Guinea,1962,49.209
"Gambia, The",1962,48.052
Guinea-Bissau,1962,40.673
Equatorial Guinea,1962,40.291
Greece,1962,18.0
Grenada,1962,41.622
Greenland,1962,41.622
Guatemala,1962,45.961
Guam,1962,35.772
Guyana,1962,41.736
High income,1962,41.736
"Hong Kong SAR, China",1962,34.0
Honduras,1962,49.704
Heavily indebted poor countries (HIPC),1962,49.704
Croatia,1962,17.59
Haiti,1962,43.582
Hungary,1962,12.9
Indonesia,1962,44.321
India,1962,47.1
Ireland,1962,21.8
"Iran, Islamic Rep.",1962,45.436
Iraq,1962,42.316
Iceland,1962,25.9
Israel,1962,24.9
Italy,1962,18.4
Jamaica,1962,39.6
Jordan,1962,51.658
Japan,1962,17.1
Kazakhstan,1962,17.1
Kenya,1962,51.043
Kyrgyz Republic,1962,51.043
Cambodia,1962,45.006
Kiribati,1962,45.006
St. Kitts and Nevis,1962,45.006
"Korea, Rep.",1962,39.6
Kosovo,1962,39.6
Kuwait,1962,44.785
Latin America & Caribbean (developing only),1962,44.785
Lao PDR,1962,42.695
Lebanon,1962,38.1
Liberia,1962,54.176
Libya,1962,48.982
St. Lucia,1962,42.2
Latin America & Caribbean (all income levels),1962,42.2
Least developed countries: UN classification,1962,42.2
Low income,1962,42.2
Liechtenstein,1962,42.2
Sri Lanka,1962,34.308
Lower middle income,1962,34.308
Low & middle income,1962,34.308
Lesotho,1962,42.299
Lithuania,1962,20.4
Luxembourg,1962,15.9
Latvia,1962,15.4
"Macao SAR, China",1962,30.603
Morocco,1962,50.16
Monaco,1962,50.16
Moldova,1962,24.767
Madagascar,1962,48.304
Maldives,1962,40.978
Middle East & North Africa (all income levels),1962,40.978
Mexico,1962,44.968
Marshall Islands,1962,44.968
Middle income,1962,44.968
"Macedonia, FYR",1962,29.64
Mali,1962,48.276
Malta,1962,22.8
Myanmar,1962,41.891
Middle East & North Africa (developing only),1962,41.891
Montenegro,1962,13.456
Mongolia,1962,43.268
Northern Mariana Islands,1962,43.268
Mozambique,1962,48.661
Mauritania,1962,49.675
Mauritius,1962,38.8
Malawi,1962,54.493
Malaysia,1962,43.502
Mayotte,1962,43.883
North America,1962,43.883
Namibia,1962,42.284
New Caledonia,1962,32.4
Niger,1962,57.11
Nigeria,1962,47.376
Nicaragua,1962,49.294
Netherlands,1962,20.9
High income: nonOECD,1962,20.9
Norway,1962,17.1
Nepal,1962,44.462
New Zealand,1962,26.2
High income: OECD,1962,26.2
OECD members,1962,26.2
Oman,1962,50.461
Pakistan,1962,39.866
Panama,1962,40.466
Peru,1962,46.334
Philippines,1962,43.757
Palau,1962,43.757
Papua New Guinea,1962,42.309
Poland,1962,19.8
Puerto Rico,1962,31.3
"Korea, Dem. Rep.",1962,34.334
Portugal,1962,24.4
Paraguay,1962,41.412
French Polynesia,1962,44.713
Qatar,1962,41.162
Russian Federation,1962,41.162
Rwanda,1962,52.866
South Asia,1962,52.866
Saudi Arabia,1962,48.859
Sudan,1962,46.304
Senegal,1962,49.281
Singapore,1962,34.8
Solomon Islands,1962,43.739
Sierra Leone,1962,46.494
El Salvador,1962,47.631
San Marino,1962,47.631
Somalia,1962,51.082
Serbia,1962,51.082
Sub-Saharan Africa (developing only),1962,51.082
Sub-Saharan Africa (all income levels),1962,51.082
Sao Tome and Principe,1962,50.667
Suriname,1962,44.44
Slovak Republic,1962,20.6
Slovenia,1962,18.1
Sweden,1962,14.2
Swaziland,1962,47.807
Seychelles,1962,47.807
Syrian Arab Republic,1962,48.214
Turks and Caicos Islands,1962,48.214
Chad,1962,45.502
Togo,1962,47.215
Thailand,1962,43.116
Tajikistan,1962,47.888
Turkmenistan,1962,44.136
Tonga,1962,45.03
Trinidad and Tobago,1962,37.705
Tunisia,1962,46.5
Turkey,1962,44.322
Tuvalu,1962,44.322
Tanzania,1962,49.173
Uganda,1962,49.299
Ukraine,1962,18.4
Upper middle income,1962,18.4
Uruguay,1962,21.6
United States,1962,22.4
Uzbekistan,1962,44.938
St. Vincent and the Grenadines,1962,46.658
"Venezuela, RB",1962,45.0
Virgin Islands (U.S.),1962,45.0
Vietnam,1962,46.006
Vanuatu,1962,47.497
World,1962,47.497
Samoa,1962,47.226
"Yemen, Rep.",1962,54.563
South Africa,1962,41.61
Zambia,1962,48.533
Zimbabwe,1962,48.148
Aruba,1963,32.459
Afghanistan,1963,52.204
Angola,1963,54.199
Albania,1963,38.792
Netherlands Antilles,1963,28.229
Arab World,1963,28.229
United Arab Emirates,1963,43.241
Argentina,1963,23.13
Armenia,1963,32.495
American Samoa,1963,32.495
Antigua and Barbuda,1963,32.495
Australia,1963,21.5
Austria,1963,18.8
Azerbaijan,1963,39.598
Burundi,1963,45.151
Belgium,1963,17.1
Benin,1963,44.777
Burkina Faso,1963,47.448
Bangladesh,1963,47.165
Bulgaria,1963,16.4
Bahrain,1963,46.78
"Bahamas, The",1963,36.957
Bosnia and Herzegovina,1963,30.449
Belarus,1963,30.449
Belize,1963,41.743
Bermuda,1963,41.743
Bolivia,1963,45.812
Brazil,1963,41.422
Barbados,1963,28.488
Brunei Darussalam,1963,42.249
Bhutan,1963,47.706
Botswana,1963,46.583
Central African Republic,1963,43.801
Canada,1963,24.6
Switzerland,1963,19.3
Channel Islands,1963,17.399
Chile,1963,36.999
China,1963,43.37
Cote d'Ivoire,1963,53.236
Cameroon,1963,43.959
"Congo, Rep.",1963,42.86
Colombia,1963,43.689
Comoros,1963,47.922
Cape Verde,1963,47.869
Costa Rica,1963,43.388
Cuba,1963,34.723
Cayman Islands,1963,34.723
Cyprus,1963,24.768
Czech Republic,1963,24.768
Germany,1963,24.768
Djibouti,1963,51.195
Dominica,1963,51.195
Denmark,1963,17.6
Dominican Republic,1963,49.431
Algeria,1963,50.224
East Asia & Pacific (developing only),1963,50.224
East Asia & Pacific (all income levels),1963,50.224
Europe & Central Asia (developing only),1963,50.224
Europe & Central Asia (all income levels),1963,50.224
Ecuador,1963,43.974
"Egypt, Arab Rep.",1963,44.182
Euro area,1963,44.182
Eritrea,1963,48.492
Spain,1963,21.3
Estonia,1963,21.3
Ethiopia,1963,47.98
European Union,1963,47.98
Finland,1963,18.2
Fiji,1963,41.533
France,1963,18.2
Faeroe Islands,1963,18.2
"Micronesia, Fed. Sts.",1963,42.707
Gabon,1963,31.29
United Kingdom,1963,18.5
Georgia,1963,22.824
Ghana,1963,47.497
Gibraltar,1963,47.497
Guinea,1963,49.2
"Gambia, The",1963,48.332
Guinea-Bissau,1963,39.687
Equatorial Guinea,1963,40.408
Greece,1963,17.5
Grenada,1963,39.42
Greenland,1963,39.42
Guatemala,1963,45.759
Guam,1963,35.421
Guyana,1963,41.431
High income,1963,41.431
"Hong Kong SAR, China",1963,33.5
Honduras,1963,49.456
Heavily indebted poor countries (HIPC),1963,49.456
Croatia,1963,49.456
Haiti,1963,43.193
Hungary,1963,13.1
Indonesia,1963,43.979
India,1963,43.979
Ireland,1963,22.2
"Iran, Islamic Rep.",1963,45.362
Iraq,1963,43.082
Iceland,1963,26.0
Israel,1963,25.0
Italy,1963,18.8
Jamaica,1963,18.8
Jordan,1963,52.416
Japan,1963,17.4
Kazakhstan,1963,17.4
Kenya,1963,50.931
Kyrgyz Republic,1963,50.931
Cambodia,1963,44.937
Kiribati,1963,44.937
St. Kitts and Nevis,1963,44.937
"Korea, Rep.",1963,44.937
Kosovo,1963,44.937
Kuwait,1963,45.574
Latin America & Caribbean (developing only),1963,45.574
Lao PDR,1963,42.622
Lebanon,1963,37.571
Liberia,1963,53.641
Libya,1963,49.104
St. Lucia,1963,49.104
Latin America & Caribbean (all income levels),1963,49.104
Least developed countries: UN classification,1963,49.104
Low income,1963,49.104
Liechtenstein,1963,49.104
Sri Lanka,1963,49.104
Lower middle income,1963,49.104
Low & middle income,1963,49.104
Lesotho,1963,42.328
Lithuania,1963,42.328
Luxembourg,1963,15.7
Latvia,1963,15.7
"Macao SAR, China",1963,29.57
Morocco,1963,49.948
Monaco,1963,49.948
Moldova,1963,23.72
Madagascar,1963,48.185
Maldives,1963,40.642
Middle East & North Africa (all income levels),1963,40.642
Mexico,1963,44.64
Marshall Islands,1963,44.64
Middle income,1963,44.64
"Macedonia, FYR",1963,28.827
Mali,1963,48.291
Malta,1963,20.3
Myanmar,1963,41.455
Middle East & North Africa (developing only),1963,41.455
Montenegro,1963,13.065
Mongolia,1963,43.16
Northern Mariana Islands,1963,43.16
Mozambique,1963,48.544
Mauritania,1963,49.383
Mauritius,1963,40.4
Malawi,1963,54.766
Malaysia,1963,42.737
Mayotte,1963,44.302
North America,1963,44.302
Namibia,1963,42.225
New Caledonia,1963,42.225
Niger,1963,57.396
Nigeria,1963,47.268
Nicaragua,1963,48.354
Netherlands,1963,20.9
High income: nonOECD,1963,20.9
Norway,1963,17.3
Nepal,1963,44.414
New Zealand,1963,25.5
High income: OECD,1963,25.5
OECD members,1963,25.5
Oman,1963,50.377
Pakistan,1963,40.312
Panama,1963,40.342
Peru,1963,46.016
Philippines,1963,43.328
Palau,1963,43.328
Papua New Guinea,1963,42.226
Poland,1963,19.2
Puerto Rico,1963,31.0
"Korea, Dem. Rep.",1963,34.297
Portugal,1963,23.4
Paraguay,1963,41.142
French Polynesia,1963,44.733
Qatar,1963,40.526
Russian Federation,1963,40.526
Rwanda,1963,52.832
South Asia,1963,52.832
Saudi Arabia,1963,48.789
Sudan,1963,46.267
Senegal,1963,49.529
Singapore,1963,34.3
Solomon Islands,1963,43.617
Sierra Leone,1963,46.557
El Salvador,1963,47.231
San Marino,1963,47.231
Somalia,1963,50.961
Serbia,1963,50.961
Sub-Saharan Africa (developing only),1963,50.961
Sub-Saharan Africa (all income levels),1963,50.961
Sao Tome and Principe,1963,50.81
Suriname,1963,44.008
Slovak Republic,1963,44.008
Slovenia,1963,18.1
Sweden,1963,14.8
Swaziland,1963,47.977
Seychelles,1963,47.977
Syrian Arab Republic,1963,48.107
Turks and Caicos Islands,1963,48.107
Chad,1963,45.439
Togo,1963,47.377
Thailand,1963,42.717
Tajikistan,1963,47.189
Turkmenistan,1963,43.502
Tonga,1963,44.62
Trinidad and Tobago,1963,36.638
Tunisia,1963,36.638
Turkey,1963,43.459
Tuvalu,1963,43.459
Tanzania,1963,49.11
Uganda,1963,49.214
Ukraine,1963,49.214
Upper middle income,1963,49.214
Uruguay,1963,21.7
United States,1963,21.7
Uzbekistan,1963,21.7
St. Vincent and the Grenadines,1963,45.955
"Venezuela, RB",1963,45.955
Virgin Islands (U.S.),1963,45.955
Vietnam,1963,45.651
Vanuatu,1963,46.967
World,1963,46.967
Samoa,1963,46.491
"Yemen, Rep.",1963,54.645
South Africa,1963,41.112
Zambia,1963,48.734
Zimbabwe,1963,48.079
Aruba,1964,30.994
Afghanistan,1964,52.192
Angola,1964,54.04
Albania,1964,37.913
Netherlands Antilles,1964,26.849
Arab World,1964,26.849
United Arab Emirates,1964,42.253
Argentina,1964,22.931
Armenia,1964,30.937
American Samoa,1964,30.937
Antigua and Barbuda,1964,30.937
Australia,1964,20.5
Austria,1964,18.5
Azerbaijan,1964,38.5
Burundi,1964,44.958
Belgium,1964,17.2
Benin,1964,45.146
Burkina Faso,1964,47.442
Bangladesh,1964,47.111
Bulgaria,1964,16.1
Bahrain,1964,46.453
"Bahamas, The",1964,36.339
Bosnia and Herzegovina,1964,29.325
Belarus,1964,29.325
Belize,1964,41.377
Bermuda,1964,41.377
Bolivia,1964,45.667
Brazil,1964,40.606
Barbados,1964,27.509
Brunei Darussalam,1964,41.024
Bhutan,1964,47.606
Botswana,1964,46.458
Central African Republic,1964,43.775
Canada,1964,23.4
Switzerland,1964,19.5
Channel Islands,1964,17.381
Chile,1964,35.923
China,1964,39.14
Cote d'Ivoire,1964,53.237
Cameroon,1964,44.134
"Congo, Rep.",1964,42.954
Colombia,1964,43.246
Comoros,1964,47.627
Cape Verde,1964,46.748
Costa Rica,1964,42.141
Cuba,1964,34.8
Cayman Islands,1964,34.8
Cyprus,1964,23.994
Czech Republic,1964,23.994
Germany,1964,23.994
Djibouti,1964,51.112
Dominica,1964,51.112
Denmark,1964,17.7
Dominican Republic,1964,48.5
Algeria,1964,49.98
East Asia & Pacific (developing only),1964,49.98
East Asia & Pacific (all income levels),1964,49.98
Europe & Central Asia (developing only),1964,49.98
Europe & Central Asia (all income levels),1964,49.98
Ecuador,1964,43.776
"Egypt, Arab Rep.",1964,43.605
Euro area,1964,43.605
Eritrea,1964,48.314
Spain,1964,21.9
Estonia,1964,21.9
Ethiopia,1964,47.972
European Union,1964,47.972
Finland,1964,17.7
Fiji,1964,40.366
France,1964,18.2
Faeroe Islands,1964,18.2
"Micronesia, Fed. Sts.",1964,42.523
Gabon,1964,31.514
