Date,Crop_Type,Sales (tons),Price ($/ton),Temp (°C),Rainfall (mm),Consumer_Trend_Index,Demand_Forecast (tons)
2024-04-14,Wheat,506,314,22.3,29.3,86,552
2024-04-16,Corn,463,240,25.7,28.1,84,463
2024-04-18,Soybean,608,292,19.2,36.5,92,593
2024-04-20,Wheat,510,296,22.0,25.2,87,577
2024-04-22,Corn,458,270,28.3,20.9,84,482
2024-04-19,Wheat,513,286,20.9,29.5,85,565
2024-04-21,Corn,458,249,24.4,29.4,79,468
2024-04-23,Soybean,580,288,20.4,34.0,86,631
2024-04-25,Wheat,528,283,24.0,24.1,87,595
2024-04-27,Corn,476,264,26.7,19.5,86,495
2024-04-24,Wheat,520,292,21.4,28.6,86,543
2024-04-26,Corn,466,249,26.2,27.1,83,483
2024-04-28,Soybean,616,290,20.5,35.4,87,591
2024-04-30,Wheat,542,293,23.7,25.0,85,549
2024-05-02,Corn,489,258,26.2,20.0,78,504
2024-04-29,Wheat,488,309,21.6,29.9,81,526
2024-05-01,Corn,445,249,25.3,27.4,82,487
2024-05-03,Soybean,617,267,20.0,33.6,88,650
2024-05-05,Wheat,501,290,23.3,25.5,89,542
2024-05-07,Corn,472,260,25.9,19.7,78,479
2024-05-04,Wheat,495,289,22.1,30.6,88,534
2024-05-06,Corn,435,240,25.3,28.6,76,491
2024-05-08,Soybean,573,281,20.4,36.3,92,639
2024-05-10,Wheat,512,299,22.0,26.0,88,588
2024-05-12,Corn,478,264,27.1,20.5,79,478
2024-05-09,Wheat,487,290,22.8,29.2,89,541
2024-05-11,Corn,436,257,25.4,28.0,80,480
2024-05-13,Soybean,584,294,20.9,35.5,87,631
2024-05-15,Wheat,498,276,22.4,24.9,91,583
2024-05-17,Corn,492,258,26.6,19.7,86,477
2024-05-14,Wheat,518,302,21.9,30.7,85,571
2024-05-16,Corn,468,248,24.4,28.3,83,456
2024-05-18,Soybean,607,284,20.5,33.7,92,645
2024-05-20,Wheat,503,282,24.1,24.2,91,570
2024-05-22,Corn,468,270,26.9,20.0,81,505
2024-05-19,Wheat,483,297,23.0,29.3,86,540
2024-05-21,Corn,462,241,26.2,27.9,78,450
2024-05-23,Soybean,580,281,19.7,36.2,89,604
2024-05-25,Wheat,526,296,22.2,24.2,84,583
2024-05-27,Corn,488,259,27.9,20.6,83,518
2024-05-24,Wheat,485,288,21.5,28.7,85,574
2024-05-26,Corn,429,241,24.9,29.2,79,470
2024-05-28,Soybean,572,270,21.0,36.6,86,648
2024-05-30,Wheat,527,301,22.9,25.0,88,580
2024-06-01,Corn,463,248,26.5,20.4,80,509
2024-05-29,Wheat,523,288,22.4,29.8,88,532
2024-05-31,Corn,459,258,26.1,28.5,80,476
2024-06-02,Soybean,622,282,19.1,36.5,92,631
2024-06-04,Wheat,505,295,22.8,25.4,85,579
2024-06-06,Corn,504,248,28.3,19.8,85,514
